"initial_alias","converted_alias","name","description","namespace"
"GO:0019752","ENSMUSG00000000168","Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]","GO"
"GO:0019752","ENSMUSG00000000214","Th","tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]","GO"
"GO:0019752","ENSMUSG00000000215","Ins2","insulin II [Source:MGI Symbol;Acc:MGI:96573]","GO"
"GO:0019752","ENSMUSG00000000278","Scpep1","serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]","GO"
"GO:0019752","ENSMUSG00000000301","Pemt","phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]","GO"
"GO:0019752","ENSMUSG00000000320","Alox12","arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998]","GO"
"GO:0019752","ENSMUSG00000000326","Comt","catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]","GO"
"GO:0019752","ENSMUSG00000000440","Pparg","peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747]","GO"
"GO:0019752","ENSMUSG00000000489","Pdgfb","platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]","GO"
"GO:0019752","ENSMUSG00000000628","Hk2","hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]","GO"
"GO:0019752","ENSMUSG00000000673","Haao","3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]","GO"
"GO:0019752","ENSMUSG00000000958","Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]","GO"
"GO:0019752","ENSMUSG00000001155","Ftcd","formiminotransferase cyclodeaminase [Source:MGI Symbol;Acc:MGI:1339962]","GO"
"GO:0019752","ENSMUSG00000001323","Srr","serine racemase [Source:MGI Symbol;Acc:MGI:1351636]","GO"
"GO:0019752","ENSMUSG00000001380","Hars","histidyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:108087]","GO"
"GO:0019752","ENSMUSG00000001670","Tat","tyrosine aminotransferase [Source:MGI Symbol;Acc:MGI:98487]","GO"
"GO:0019752","ENSMUSG00000001729","Akt1","thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]","GO"
"GO:0019752","ENSMUSG00000001773","Folh1","folate hydrolase 1 [Source:MGI Symbol;Acc:MGI:1858193]","GO"
"GO:0019752","ENSMUSG00000001827","Folr1","folate receptor 1 (adult) [Source:MGI Symbol;Acc:MGI:95568]","GO"
"GO:0019752","ENSMUSG00000002010","Idh3g","isocitrate dehydrogenase 3 (NAD+), gamma [Source:MGI Symbol;Acc:MGI:1099463]","GO"
"GO:0019752","ENSMUSG00000002108","Nr1h3","nuclear receptor subfamily 1, group H, member 3 [Source:MGI Symbol;Acc:MGI:1352462]","GO"
"GO:0019752","ENSMUSG00000002250","Ppard","peroxisome proliferator activator receptor delta [Source:MGI Symbol;Acc:MGI:101884]","GO"
"GO:0019752","ENSMUSG00000002588","Pon1","paraoxonase 1 [Source:MGI Symbol;Acc:MGI:103295]","GO"
"GO:0019752","ENSMUSG00000002603","Tgfb1","transforming growth factor, beta 1 [Source:MGI Symbol;Acc:MGI:98725]","GO"
"GO:0019752","ENSMUSG00000002661","Alkbh7","alkB homolog 7 [Source:MGI Symbol;Acc:MGI:1913650]","GO"
"GO:0019752","ENSMUSG00000002769","Gnmt","glycine N-methyltransferase [Source:MGI Symbol;Acc:MGI:1202304]","GO"
"GO:0019752","ENSMUSG00000002944","Cd36","CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]","GO"
"GO:0019752","ENSMUSG00000002992","Apoc2","apolipoprotein C-II [Source:MGI Symbol;Acc:MGI:88054]","GO"
"GO:0019752","ENSMUSG00000002997","Prkar2b","protein kinase, cAMP dependent regulatory, type II beta [Source:MGI Symbol;Acc:MGI:97760]","GO"
"GO:0019752","ENSMUSG00000003053","Cyp2c29","cytochrome P450, family 2, subfamily c, polypeptide 29 [Source:MGI Symbol;Acc:MGI:103238]","GO"
"GO:0019752","ENSMUSG00000003123","Lipe","lipase, hormone sensitive [Source:MGI Symbol;Acc:MGI:96790]","GO"
"GO:0019752","ENSMUSG00000003484","Cyp4f18","cytochrome P450, family 4, subfamily f, polypeptide 18 [Source:MGI Symbol;Acc:MGI:1919304]","GO"
"GO:0019752","ENSMUSG00000003526","Prodh","proline dehydrogenase [Source:MGI Symbol;Acc:MGI:97770]","GO"
"GO:0019752","ENSMUSG00000003559","As3mt","arsenic (+3 oxidation state) methyltransferase [Source:MGI Symbol;Acc:MGI:1929882]","GO"
